batch_id	batch_name	cond	cell_nm	f_no_digestion	mean_f_fend_dup	max_chrom_cov_abber	f_trans	trans_align	total_contacts	cis_ab_comp	trans_ab_comp	passed_qc	mean_insu	ord	group	f_mitotic_band	f_near_band	far_mu	repli_score
2	1CDS1_2891	1CDS1	1CDS1_135	0.338764001	0.008108529	0.226147601	0.072334429	0.292114711	12774	0.105439125	0.196890971	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_136	0.327452436	0.013159692	0.272503434	0.053807417	0.424241073	68708	0.238403992	0.013723886	1	2.16110035	554	late-S/G2	0.094659796	0.796862179	22041583.89	1.370930607
2	1CDS1_2891	1CDS1	1CDS1_137	0.35021796	0.008492323	0.333798034	0.094901961	0.289168524	11475	-0.020496696	0.147883408	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_138	0.386705592	0.008690908	0.178830295	0.087896469	0.36361112	13368	0.031632366	0.054020179	0	NA	NA	NA	NA	NA	NA	NA
3	1CDS1_2948	1CDS1	1CDS1_141	0.310201218	0.015602249	0.147311173	0.076279487	0.47948742	158247	0.172054147	-0.015497225	1	2.406660377	200	early-S	0.163715654	0.664302176	19207242.65	1.0975063
3	1CDS1_2948	1CDS1	1CDS1_142	0.305957148	0.020212991	0.167259707	0.067309669	0.399810322	175116	0.169855815	0.03448661	1	2.258549976	501	early-S	0.097497725	0.777313701	24070762.32	1.296906121
3	1CDS1_2948	1CDS1	1CDS1_143	0.388848029	0.027036914	0.10006975	0.052406868	0.330883879	248975	0.123382671	0.023175727	1	2.257095054	663	late-S/G2	0.080783003	0.821529605	24109996.29	1.273774098
3	1CDS1_2948	1CDS1	1CDS1_144	0.403438819	0.015640493	0.523635279	0.055371395	0.462087744	102869	0.159585215	0.005363173	1	2.208190053	514	early-S	0.099110606	0.782808213	22130349.09	1.317351967
3	1CDS1_2948	1CDS1	1CDS1_145	0.323674597	0.029100935	0.087388677	0.077289651	0.227191649	316653	0.093813642	0.046249167	1	2.247171271	378	early-S	0.109990281	0.754531202	26318264.21	1.200785278
3	1CDS1_2948	1CDS1	1CDS1_146	0.346956963	0.013234374	0.100802948	0.06492157	0.255356305	80836	0.099849875	0.045761923	1	2.478465232	321	early-S	0.10747281	0.736989826	24706470.56	1.142402885
3	1CDS1_2948	1CDS1	1CDS1_147	0.286022866	0.023717769	0.723216312	0.031776764	0.345745693	312996	0.107281176	0.024051462	1	2.368881078	52	G1	0.182427699	0.496054193	21108328.17	1.014792233
3	1CDS1_2948	1CDS1	1CDS1_148	0.2987319	0.013068917	0.142089353	0.073849581	0.388842059	93379	0.132763948	0.129445014	1	2.364283143	605	late-S/G2	0.093043457	0.800834882	21891543.85	1.225230841
3	1CDS1_2948	1CDS1	1CDS1_151	0.343443692	0.012209353	0.358112008	0.069867487	0.296747726	89727	0.13749005	0.024009259	1	2.211946127	298	early-S	0.125890618	0.704103672	26235954.51	1.178274403
3	1CDS1_2948	1CDS1	1CDS1_152	0.293747285	0.022059441	0.257207673	0.067442719	0.321032425	276442	0.119171935	0.046375212	1	2.444433283	155	early-S	0.145824739	0.624152867	27069277.25	1.038586845
3	1CDS1_2948	1CDS1	1CDS1_153	0.329111563	0.031469516	0.142638331	0.061985233	0.261521904	354164	0.105902795	0.018967484	1	2.32619615	362	early-S	0.100472762	0.75766164	27631048.29	1.175226275
3	1CDS1_2948	1CDS1	1CDS1_154	0.300757475	0.031901398	0.113522989	0.082139461	0.326575943	381741	0.132141301	0.06283872	1	2.134143036	317	early-S	0.128096832	0.718972873	23877273.72	1.180114747
3	1CDS1_2948	1CDS1	1CDS1_155	0.311773978	0.020580595	0.512286109	0.041723304	0.269162687	226588	0.085426309	0.038274413	1	2.354196177	66	G1	0.171342772	0.539306979	21947847.67	1.012944279
3	1CDS1_2948	1CDS1	1CDS1_156	0.334574858	0.045050301	0.450083254	0.062003149	0.190777454	510714	0.175690888	0.019869601	1	2.037898111	413	early-S	0.108376932	0.76676192	27600289.13	1.210906578
3	1CDS1_2948	1CDS1	1CDS1_157	0.269662059	0.044032225	0.097280448	0.068268316	0.352476596	495280	0.114751842	0.051473258	1	2.194957623	478	early-S	0.099395371	0.774142962	23405853.32	1.276830524
3	1CDS1_2948	1CDS1	1CDS1_158	0.235785985	0.012441257	0.131805261	0.088410374	0.258712069	104490	0.170240713	0.014531115	1	2.426324182	402	early-S	0.105985413	0.762130558	25985282.64	1.211017858
